customer_unique_id,order_purchase_timestamp,recency,recency_score,frequency,frequency_score,total_price,total_freight,payment_value,monetary_score,mean_review_score,segment,at_risk,freight_to_price_ratio,customer_city,customer_state,mean_lat,mean_lng,customer_state_desc,mean_delivery_time,min_target_days,customer_late_status,mean_jarak_km,mean_delivery_days,mean_jarak_km_flag,payment_installments,installments_flag,latest_review_flag,negative_flag,neutral_flag,positive_flag
0000366f3b9a7992bf8c76cfdf3221e2,2018-05-10 10:56:27,160,4,1,1,129.9,12.0,141.9,4,5,Recent Buyers / New,0,0.09237875288683603,cajamar,SP,-23.34023461327358,-46.830139519037004,São Paulo,6 days 09:37:19,4 days 03:11:23,not_late_victims,110.56863575937481,6.400914351851852,sangat_dekat,8,cicil,positive,0,0,1
0000b849f77a49e4a4ce2b2a4ca5be3f,2018-05-07 11:11:27,163,4,1,1,18.9,8.29,27.189999999999998,1,4,Recent Buyers / New,0,0.43862433862433864,osasco,SP,-23.5591147795387,-46.78762555874676,São Paulo,2 days 23:36:58,4 days 05:57:18,not_late_victims,22.168333187690575,2.9840046296296294,sangat_dekat,1,tidak_cicil,neutral,0,1,0
0000f46a3911fa3c0805444483337064,2017-03-10 21:05:03,585,1,1,1,69.0,17.22,86.22,2,3,Lost / Hibernating,1,0.24956521739130433,sao jose,SC,-27.54287971138869,-48.633426145173786,Santa Catarina,25 days 17:33:44,1 days 09:21:13,not_late_victims,516.9388361655829,25.73175925925926,sedang,8,cicil,negative,1,0,0
0000f6ccb0745a6a4b88665a16c9f078,2017-10-12 20:29:41,369,2,1,1,25.99,17.63,43.62,1,4,About to Sleep,1,0.6783378222393228,belem,PA,-1.312214053330499,-48.48315851352102,Pará,20 days 00:33:48,11 days 02:36:55,not_late_victims,2481.287187859459,20.02347222222222,sangat_jauh,4,cicil,neutral,0,1,0
0004aac84e0df4da2b147fca70cf8255,2017-11-14 19:45:42,336,2,1,1,180.0,16.89,196.89,4,5,About to Sleep,1,0.09383333333333334,sorocaba,SP,-23.505547950176677,-47.46970526393222,São Paulo,13 days 03:02:04,7 days 00:51:04,not_late_victims,154.50788691602764,13.126435185185185,dekat,6,cicil,positive,0,0,1
0004bd2a26a76fe21f786e4fbd80607f,2018-04-05 19:33:16,194,4,1,1,154.0,12.98,166.98,4,4,Recent Buyers / New,0,0.08428571428571428,sao paulo,SP,-23.515676072388047,-46.68823275335754,São Paulo,1 days 20:23:44,11 days 07:47:17,not_late_victims,27.189874188911894,1.8498148148148148,sangat_dekat,8,cicil,neutral,0,1,0
00050ab1314c0e55a6ca13cf7181fecf,2018-04-20 12:57:23,180,4,1,1,27.99,7.39,35.379999999999995,1,4,Recent Buyers / New,0,0.26402286530903896,campinas,SP,-22.823420763935182,-47.08719295680403,São Paulo,2 days 08:17:46,11 days 11:51:01,not_late_victims,101.54609421872352,2.3456712962962962,sangat_dekat,1,tidak_cicil,neutral,0,1,0
00053a61a98854899e70ed204dd4bafe,2018-02-28 11:15:41,231,3,1,1,382.0,37.18,419.18,5,1,Bad First Impression (New),1,0.09732984293193717,curitiba,PR,-25.431322500860055,-49.27921885397559,Paraná,16 days 07:30:09,9 days 04:57:09,not_late_victims,503.683954506074,16.312604166666667,sedang,3,cicil,negative,1,0,0
0005e1862207bf6ccc02e4228effd9a0,2017-03-04 23:32:12,591,1,1,1,135.0,15.12,150.12,4,4,Lost / Hibernating,1,0.11199999999999999,teresopolis,RJ,-22.401370616090784,-42.991001939270085,Rio de Janeiro,4 days 08:49:42,27 days 15:26:52,not_late_victims,246.72048424713375,4.367847222222222,dekat,3,cicil,neutral,0,1,0
0005ef4cd20d2893f0d9fbd94d3c0d97,2018-03-12 15:22:12,219,4,1,1,104.9,24.86,129.76,3,1,Bad First Impression (New),1,0.2369876072449952,sao luis,MA,-2.545260736873305,-44.23499277150638,Maranhão,53 days 20:59:52,-32 days +11:21:22,is_late_victims,2250.6360990075414,53.874907407407406,sangat_jauh,4,cicil,negative,1,0,0
0006fdc98a402fceb4eb0ee528f6a8d4,2017-07-18 09:23:10,456,1,1,1,13.9,15.1,29.0,1,3,Lost / Hibernating,1,1.0863309352517985,mimoso do sul,ES,-21.061570668726116,-41.36296449402211,Espírito Santo,16 days 09:12:27,11 days 05:17:11,not_late_victims,776.7581761085124,16.383645833333333,jauh,2,cicil,negative,1,0,0
00082cbe03e478190aadbea78542e933,2017-11-19 15:22:02,332,2,1,1,79.0,47.26,126.25999999999999,3,5,About to Sleep,1,0.5982278481012658,itapeva,SP,-23.983249436265403,-48.87652512325583,São Paulo,8 days 18:03:05,7 days 02:04:31,not_late_victims,233.4875402049782,8.752141203703705,dekat,1,tidak_cicil,positive,0,0,1
00090324bbad0e9342388303bb71ba0a,2018-03-24 14:44:41,207,4,1,1,49.95,13.71,63.660000000000004,2,5,Recent Buyers / New,0,0.2744744744744745,campinas,SP,-22.97413138758236,-47.12644955885273,São Paulo,15 days 22:40:13,7 days 10:24:18,not_late_victims,221.31968565141395,15.944594907407408,dekat,3,cicil,positive,0,0,1
000949456b182f53c18b68d6babc79c1,2018-04-23 09:55:46,177,4,1,1,64.89,17.16,82.05,2,4,Recent Buyers / New,0,0.2644475265834489,sao bernardo do campo,SP,-23.670914716555867,-46.565135129733704,São Paulo,5 days 20:56:06,14 days 08:24:57,not_late_victims,884.741846374321,5.8722916666666665,sangat_jauh,1,tidak_cicil,neutral,0,1,0
